Descricao,Valor
ATORVASTATINA 80 MG (POR COMPRIMIDO),"0,00"
BEZAFIBRATO 200 MG (POR DRAGEA OU COMPRIMIDO),"0,00"
CLOBAZAM 20 MG (POR COMPRIMIDO),"0,00"
ESCUTA INICIAL / ORIENTACAO (ACOLHIMENTO A DEMANDA ESPONT NEA),"0,00"
ETOFIBRATO 500 MG (POR CAPSULA),"0,00"
FORMOTEROL 12 MCG + BUDESONIDA 400 MCG PO INALANTE (POR FRASCO DE 60 DOSES),"0,00"
FORMOTEROL 6MCG + BUDESONIDA 200 MCG (POR CAPSULA INALANTE),"0,00"
ISOTRETINOINA 10 MG (POR CAPSULA),"0,00"
LAMOTRIGINA 25 MG (POR COMPRIMIDO),"0,00"
MORFINA 10 MG/ML (POR AMPOLA DE 1 ML),"0,00"
PRAVASTATINA 10 MG (POR COMPRIMIDO),"0,00"
PRIMIDONA 100 MG (POR COMPRIMIDO),"0,00"
TACROLIMO 5 MG (POR CAPSULA),"0,00"
TENECTEPLASE 40 MG INJETAVEL (POR FRASCO AMPOLA) DE USO NAS URGENCIAS PRE-HOSPITALARES,"1.810,00"
ABATACEPTE 125 MG INJETAVEL (POR SERINGA PREENCHIDA),"0,00"
ABATACEPTE 250 MG INJETAVEL (POR FRASCO AMPOLA).,"0,00"
ABCIXIMABE,"873,00"
ABERTURA DE COMUNICACAO INTER-ATRIAL,"12.246,65"
ABERTURA DE ESTENOSE AORTICA VALVAR,"7.445,17"
ABERTURA DE ESTENOSE AORTICA VALVAR (CRIANCA E ADOLESCENTE),"12.820,88"
ABERTURA DE ESTENOSE PULMONAR VALVAR,"7.445,17"
ABERTURA DE ESTENOSE PULMONAR VALVAR (CRIANCA E ADOLESCENTE),"10.948,62"
ABORDAGEM COGNITIVA COMPORTAMENTAL DO FUMANTE (POR ATENDIMENTO / PACIENTE),"0,00"
ACAO COLETIVA DE APLICACAO TOPICA DE FLUOR GEL,"0,00"
ACAO COLETIVA DE BOCHECHO FLUORADO,"0,00"
ACAO COLETIVA DE ESCOVACAO DENTAL SUPERVISIONADA,"0,00"
ACAO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLOGICA,"0,00"
ACAO COLETIVA DE PREVENCAO DE CANCER BUCAL,"0,00"
ACESSO A POLPA DENTARIA E MEDICACAO (POR DENTE),"0,00"
ACETAZOLAMIDA 250 MG (POR COMPRIMIDO),"0,00"
ACIDEZ TITULAVEL NO LEITE HUMANO (DORNIC),"3,04"
ACIDO NICOTINICO 250MG (POR COMPRIMIDO DE LIBERACAO PROLONGADA),"0,00"
ACIDO NICOTINICO 500MG (POR COMPRIMIDO DE LIBERACAO PROLONGADA),"0,00"
ACIDO NICOTINICO 750 MG (POR COMPRIMIDO DE LIBERACAO PROLONGADA),"0,00"
ACIDO URICO LIQUIDO NO SINOVIAL E DERRAMES,"1,89"
ACIDO URSODESOXICOLICO 150 MG (POR COMPRIMIDO),"2,90"
ACIDO URSODESOXICOLICO 300 MG (POR COMPRIMIDO),"5,73"
ACIDO URSODESOXICOLICO 50 MG (POR COMPRIMIDO),"1,17"
ACITRETINA 10 MG (POR CAPSULA),"2,74"
ACITRETINA 25 MG (POR CAPSULA),"6,73"
ACOES DE ARTICULACAO DE REDES INTRA E INTERSETORIAIS,"0,00"
ACOES DE REABILITACAO PSICOSSOCIAL,"0,00"
ACOES DE REDUCAO DE DANOS,"0,00"
ACOES RELACIONADAS A DOACAO DE ORGAOS E TECIDOS PARA TRANSPLANTE,"0,00"
ACOES RELACIONADAS A DOACAO DE ORGAOS E TECIDOS REALIZADAS POR EQUIPE DE OUTRO ESTABELECIMENT,"O 0,00"
ACOLHIMENTO COM CLASSIFICACAO DE RISCO,"0,00"
ACOLHIMENTO DIURNO DE PACIENTE EM CENTRO DE ATENCAO PSICOSSOCIAL,"0,00"
